Island,Longitude,Latitude
Shingle,79.23722222,9.245277778
Krusadai,79.22138889,9.249444444
Pullivasal,79.19694444,9.250277778
Poomarichan,79.1775,9.248055556
Manoliputti,79.16638889,9.2125
Manoli,79.13083333,9.220277778
Hare,79.0675,9.188611111
Mulli,78.97472222,9.188055556
Valai,78.93888889,9.186111111
Thalayari,78.93111111,9.171388889
Appa,78.835,9.166388889
Poovarasanpatti,78.7475,9.157222222
Valimunai,78.72805556,9.148333333
Anaipar,78.69194444,9.148888889
Nallathanni,78.5725,9.106944444
Puluvinichalli,78.54055556,9.101388889
Upputhanni,78.49611111,9.089722222
Vilanguchalli,78.26805556,8.934166667
Kariyachalli,78.25,8.9525
Koswari,78.22472222,8.865277778
Vaan,78.21111111,8.834444444
